Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
 <br />BZ-1531A;Блуза "Alice 2" BZ-1531A;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;белый;креп-шифон;199;568;9.65;https://niko-opt.com/bluzki/1643-bluza-alice-2-bz-1531a.html;http://niko-opt.com/5788-large_default/bluza-alice-2-bz-1531a.jpg,;
BZ-1531B;Блуза "Alice 2" BZ-1531B;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;голубой;креп-шифон;199;568;9.65;https://niko-opt.com/bluzki/1644-bluza-alice-2-bz-1531b.html;http://niko-opt.com/5790-large_default/bluza-alice-2-bz-1531b.jpg,;
BZ-1531C;Блуза "Alice 2" BZ-1531C;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;ментол;креп-шифон;199;568;9.65;https://niko-opt.com/bluzki/1646-bluza-alice-2-bz-1531c.html;http://niko-opt.com/5794-large_default/bluza-alice-2-bz-1531c.jpg,;
BZ-1531D;Блуза "Alice 2" BZ-1531D;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;черный;креп-шифон;199;568;9.65;https://niko-opt.com/bluzki/1645-bluza-alice-2-bz-1531d.html;http://niko-opt.com/5792-large_default/bluza-alice-2-bz-1531d.jpg,;
BZ-1507A;Блуза "Alice" BZ-1507A;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;белый;креп-шифон;190;545;9.26;https://niko-opt.com/bluzki/1604-bluza-alice-bz-1507a.html;http://niko-opt.com/5684-large_default/bluza-alice-bz-1507a.jpg,http://niko-opt.com/5685-large_default/bluza-alice-bz-1507a.jpg;
BZ-1507B;Блуза "Alice" BZ-1507B;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;голубой;креп-шифон;190;545;9.26;https://niko-opt.com/bluzki/1600-bluza-alice-bz-1507b.html;http://niko-opt.com/5674-large_default/bluza-alice-bz-1507b.jpg,http://niko-opt.com/5675-large_default/bluza-alice-bz-1507b.jpg;
BZ-1507C;Блуза "Alice" BZ-1507C;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;ментол;креп-шифон;190;545;9.26;https://niko-opt.com/bluzki/1602-bluza-alice-bz-1507c.html;http://niko-opt.com/5681-large_default/bluza-alice-bz-1507c.jpg,http://niko-opt.com/5682-large_default/bluza-alice-bz-1507c.jpg;
BZ-1507D;Блуза "Alice" BZ-1507D;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46;черный;креп-шифон;190;545;9.26;https://niko-opt.com/bluzki/1601-bluza-alice-bz-1507d.html;http://niko-opt.com/5677-large_default/bluza-alice-bz-1507d.jpg,http://niko-opt.com/5678-large_default/bluza-alice-bz-1507d.jpg,http://niko-opt.com/5679-large_default/bluza-alice-bz-1507d.jpg;
BZ-1538A;Блуза "Fiona" BZ-1538A;Блузки;Длина по спинке - 65 смПлечо - 20 см;42,44,46;белый;поплин;219;618;10.52;https://niko-opt.com/bluzki/1681-bluza-fiona-bz-1538a.html;http://niko-opt.com/5879-large_default/bluza-fiona-bz-1538a.jpg,;
BZ-1625A;Блуза "Hilory" BZ-1625A;Блузки;;42,44,46,48;черный;креп-шифон;176;510;8.65;https://niko-opt.com/bluzki/2064-bluza-hilory-bz-1625a.html;http://niko-opt.com/7227-large_default/bluza-hilory-bz-1625a.jpg,;
BZ-1625B;Блуза "Hilory" BZ-1625B;Блузки;;42,44,46,48;красный;креп-шифон;176;510;8.65;https://niko-opt.com/bluzki/2065-bluza-hilory-bz-1625b.html;http://niko-opt.com/7230-large_default/bluza-hilory-bz-1625b.jpg,;
BZ-1625C;Блуза "Hilory" BZ-1625C;Блузки;;42,44,46,48;молоко;креп-шифон;176;510;8.65;https://niko-opt.com/bluzki/2066-bluza-hilory-bz-1625c.html;http://niko-opt.com/7232-large_default/bluza-hilory-bz-1625c.jpg,;
BZ-1625D;Блуза "Hilory" BZ-1625D;Блузки;;42,44,46,48;голубой;креп-шифон;176;510;8.65;https://niko-opt.com/bluzki/2067-bluza-hilory-bz-1625d.html;http://niko-opt.com/7238-large_default/bluza-hilory-bz-1625d.jpg,;
BZ-1625E;Блуза "Hilory" BZ-1625E;Блузки;;42,44,46,48;белый;креп-шифон;176;510;8.65;https://niko-opt.com/bluzki/2068-bluza-hilory-bz-1625e.html;http://niko-opt.com/7240-large_default/bluza-hilory-bz-1625e.jpg,;
BZ-1530A;Блуза "Louise" BZ-1530A;Блузки;Длина по спинке: 70 смДлина по переду: 54 смДлина рукава: 21 см;42,44,46,48,50,52,54,56;изумрудный;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1664-bluza-louise-bz-1530a.html;http://niko-opt.com/5840-large_default/bluza-louise-bz-1530a.jpg,;
BZ-1530B;Блуза "Louise" BZ-1530B;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44,46,48,50,52,54,56;белый;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1662-bluza-louise-bz-1530b.html;http://niko-opt.com/5822-large_default/bluza-louise-bz-1530b.jpg,http://niko-opt.com/5823-large_default/bluza-louise-bz-1530b.jpg,http://niko-opt.com/5824-large_default/bluza-louise-bz-1530b.jpg;
BZ-1530C;Блуза "Louise" BZ-1530C;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;46,48,50,52,54,56;персик;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1663-bluza-louise-bz-1530c.html;http://niko-opt.com/5826-large_default/bluza-louise-bz-1530c.jpg,http://niko-opt.com/5827-large_default/bluza-louise-bz-1530c.jpg,http://niko-opt.com/5828-large_default/bluza-louise-bz-1530c.jpg;
BZ-1530D;Блуза "Louise" BZ-1530D;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44;черный;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1682-bluza-louise-bz-1530d.html;http://niko-opt.com/5881-large_default/bluza-louise-bz-1530d.jpg,;
BZ-1530E;Блуза "Louise" BZ-1530E;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,46,48,50,52,54,56;электрик;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1684-bluza-louise-bz-1530e.html;http://niko-opt.com/5884-large_default/bluza-louise-bz-1530e.jpg,;
BZ-1530F;Блуза "Louise" BZ-1530F;Блузки;Длина по спинке: 70 смДлина по переду: 54 смДлина рукава: 21 см;44,46,48,50,52,54,56;бежевый;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1665-bluza-louise-bz-1530f.html;http://niko-opt.com/5842-large_default/bluza-louise-bz-1530f.jpg,;
